product_name,price,price_value,sku,stock_status,stock_quantity,categories,tags,tags_and_categories,tag_count,short_description,product_url,listing_page
Beedrill,£168.00,168.0,6542,125 in stock,125,Poison Bee | Pokemon,beedrill | Poison Bee | Swarm,Poison Bee | Pokemon | beedrill | Swarm,4,"Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm.",https://scrapeme.live/shop/Beedrill/,1
Blastoise,£76.00,76.0,5212,88 in stock,88,Pokemon | Shellfish,blastoise | Shellfish | Torrent,Pokemon | Shellfish | blastoise | Torrent,4,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,https://scrapeme.live/shop/Blastoise/,1
Bulbasaur,£63.00,63.0,4391,45 in stock,45,Pokemon | Seed,bulbasaur | Overgrow | Seed,Pokemon | Seed | bulbasaur | Overgrow,4,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger.",https://scrapeme.live/shop/Bulbasaur/,1
Butterfree,£162.00,162.0,9507,242 in stock,242,Butterfly | Pokemon,Butterfly | butterfree | Compound Eyes,Butterfly | Pokemon | butterfree | Compound Eyes,4,"Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.",https://scrapeme.live/shop/Butterfree/,1
Caterpie,£73.00,73.0,7492,40 in stock,40,Pokemon | Worm,caterpie | Shield Dust | Worm,Pokemon | Worm | caterpie | Shield Dust,4,"Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.",https://scrapeme.live/shop/Caterpie/,1
Charizard,£156.00,156.0,8840,31 in stock,31,Flame | Pokemon,Blaze | Charizard | Flame,Flame | Pokemon | Blaze | Charizard,4,"Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.",https://scrapeme.live/shop/Charizard/,1
Charmander,£48.00,48.0,9086,206 in stock,206,Lizard | Pokemon,Blaze | charmander | Lizard,Lizard | Pokemon | Blaze | charmander,4,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.",https://scrapeme.live/shop/Charmander/,1
Charmeleon,£165.00,165.0,6565,284 in stock,284,Flame | Pokemon,Blaze | charmeleon | Flame,Flame | Pokemon | Blaze | charmeleon,4,"Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.",https://scrapeme.live/shop/Charmeleon/,1
Ivysaur,£87.00,87.0,7227,142 in stock,142,Pokemon | Seed,ivysaur | Overgrow | Seed,Pokemon | Seed | ivysaur | Overgrow,4,"There is a bud on this Pokémon’s back. To support its weight, Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon.",https://scrapeme.live/shop/Ivysaur/,1
Kakuna,£148.00,148.0,1049,260 in stock,260,Cocoon | Pokemon,Cocoon | kakuna | Shed Skin,Cocoon | Pokemon | kakuna | Shed Skin,4,"Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.",https://scrapeme.live/shop/Kakuna/,1
Metapod,£148.00,148.0,2072,285 in stock,285,Cocoon | Pokemon,Cocoon | metapod | Shed Skin,Cocoon | Pokemon | metapod | Shed Skin,4,The shell covering this Pokémon’s body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.,https://scrapeme.live/shop/Metapod/,1
Pidgey,£159.00,159.0,9452,175 in stock,175,Pokemon | Tiny Bird,Keen Eye | pidgey | Tiny Bird,Pokemon | Tiny Bird | Keen Eye | pidgey,4,"Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.",https://scrapeme.live/shop/Pidgey/,1
Squirtle,£130.00,130.0,6094,178 in stock,178,Pokemon | Tiny Turtle,squirtle | Tiny Turtle | Torrent,Pokemon | Tiny Turtle | squirtle | Torrent,4,"Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.",https://scrapeme.live/shop/Squirtle/,1
Venusaur,£105.00,105.0,7036,30 in stock,30,Pokemon | Seed,Overgrow | Seed | venusaur,Pokemon | Seed | Overgrow | venusaur,4,There is a large flower on Venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.,https://scrapeme.live/shop/Venusaur/,1
